Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
N,402,90,,,,,,,
N,402,120,,,,,,,
N,402,150,,,,,,,
N,401,0,,,,,,,
N,401,30,,,,,,,
N,401,60,,,,,,,
N,401,90,,,,,,,
N,401,120,,,,,,,
N,401,150,,,,,,,
N,301,0,3,1,4,1,1,2,
N,301,30,3,2,4,2,0,2,
N,301,60,3,2,4,2,0,2,
N,301,90,,,,,,,
N,301,120,,,,,,,
N,301,150,,,,,,,
N,302,0,4,2,4,2,0,2,
N,302,30,4,2,4,3,0,2,
N,302,60,4,3,4,3,0,2,
N,302,90,,,,,,,
N,302,120,,,,,,,
N,302,150,,,,,,,
N,303,0,3,1,3,4,0,2,
N,303,30,3,1,4,4,0,2,
N,303,60,4,2,4,5,0,2,
N,303,90,,,,,,,
N,303,120,,,,,,,
N,303,150,,,,,,,
N,304,0,3,1,2,2,0,2,
N,304,30,3,1,2,3,0,2,
N,304,60,2,2,3,4,0,2,
N,304,90,,,,,,,
N,304,120,,,,,,,
N,304,150,,,,,,,
N,305,0,1,1,1,1,0,2,
N,305,30,2,2,3,2,0,2,
N,305,60,2,2,3,3,0,2,
N,305,90,,,,,,,
N,305,120,,,,,,,
N,305,150,,,,,,,
N,306,0,1,1,1,2,0,2,
N,306,30,1,1,1,2,0,2,
N,306,60,1,1,3,2,0,2,
N,306,90,,,,,,,
N,306,120,,,,,,,
N,306,150,,,,,,,
N,307,0,1,1,1,1,0,2,
N,307,30,2,1,2,1,0,2,
N,307,60,2,1,2,1,0,2,
N,307,90,,,,,,,
N,37,120,,,,,,,
N,307,150,,,,,,,
N,308,0,1,1,2,2,0,2,
N,308,30,1,1,3,3,0,2,
N,308,60,1,1,3,3,0,2,
N,308,90,,,,,,,
N,308,120,,,,,,,
N,308,150,,,,,,,
N,309,0,1,1,1,1,0,2,
N,309,30,3,1,1,1,0,2,
N,309,60,3,1,1,1,0,2,
N,309,90,,,,,,,
N,309,120,,,,,,,
N,309,150,,,,,,,
N,310,0,1,1,3,1,0,2,
N,310,30,1,2,4,2,0,2,
N,310,60,1,4,4,2,0,2,
N,310,90,,,,,,,
N,310,120,,,,,,,
N,310,150,,,,,,,
N,311,0,1,1,1,1,0,2,
N,311,30,1,1,1,1,0,0,
N,311,60,1,1,1,1,0,0,
N,311,90,,,,,,,
N,311,120,,,,,,,
N,311,150,,,,,,,
